Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2024-11-27,sierra-gold,8431,,6.9.4,2:53,0:56,2.5,0.323699,SG_2024_Metrics.csv
2024-11-27,sierra-gold,8432,,6.9.4,2:51,0:53,2.7,0.309942,SG_2024_Metrics.csv
2024-11-27,sierra-gold,8433,,6.9.6,2:44,0:57,2.5,0.347561,SG_2024_Metrics.csv
2024-11-28,sierra-gold,8431,,6.9.6,8:27,2:43,8.4,0.321499,SG_2024_Metrics.csv
2024-11-28,sierra-gold,8432,,6.9.6,8:30,2:46,9.1,0.32549,SG_2024_Metrics.csv
2024-11-28,sierra-gold,8433,,6.9.6,8:26,2:38,8.9,0.312253,SG_2024_Metrics.csv
2024-12-02,sierra-gold,8431,,6.9.6,6:50,1:11,2.4,0.173171,SG_2024_Metrics.csv
2024-12-02,sierra-gold,8432,,6.9.6,7:14,0:47,2,0.108295,SG_2024_Metrics.csv
2024-12-02,sierra-gold,8433,,6.9.6,6:24,1:30,4,0.234375,SG_2024_Metrics.csv
2024-12-03,sierra-gold,8431,,6.9.6,8:34,1:56,5.2,0.225681,SG_2024_Metrics.csv
2024-12-03,sierra-gold,8432,,6.9.6,8:42,1:27,3.4,0.166667,SG_2024_Metrics.csv
2024-12-03,sierra-gold,8433,,6.9.6,7:59,1:07,2.6,0.139875,SG_2024_Metrics.csv
2024-12-04,sierra-gold,8431,,6.9.6,7:34,0:46,1.5,0.101322,SG_2024_Metrics.csv
2024-12-04,sierra-gold,8432,,6.9.6,8:36,1:28,2.9,0.170543,SG_2024_Metrics.csv
2024-12-04,sierra-gold,8433,,6.9.6,8:38,0:45,1.3,0.086873,SG_2024_Metrics.csv
2024-12-05,sierra-gold,8431,,6.9.6,8:39,0:49,1.8,0.094412,SG_2024_Metrics.csv
2024-12-05,sierra-gold,8432,,6.9.6,8:39,1:33,3.4,0.179191,SG_2024_Metrics.csv
2024-12-05,sierra-gold,8433,,6.9.6,8:06,1:11,2.5,0.146091,SG_2024_Metrics.csv
2024-12-06,sierra-gold,8431,,6.9.6,8:19,1:38,3.7,0.196393,SG_2024_Metrics.csv
2024-12-06,sierra-gold,8432,,6.9.6,8:40,1:05,2.5,0.125,SG_2024_Metrics.csv
2024-12-06,sierra-gold,8433,,6.9.6,8:10,1:43,3.9,0.210204,SG_2024_Metrics.csv
2024-12-09,sierra-gold,8431,,6.9.6,7:38,0:38,1.2,0.082969,SG_2024_Metrics.csv
2024-12-09,sierra-gold,8432,,6.9.6,8:38,1:17,2.4,0.148649,SG_2024_Metrics.csv
2024-12-09,sierra-gold,8433,,6.9.6,8:32,1:00,1.9,0.117188,SG_2024_Metrics.csv
2024-12-10,sierra-gold,8431,,6.9.6,8:23,0:58,2.2,0.115308,SG_2024_Metrics.csv
2024-12-10,sierra-gold,8432,,6.9.6,7:38,1:01,2.6,0.133188,SG_2024_Metrics.csv
2024-12-10,sierra-gold,8433,,6.9.6,8:36,0:21,0.5,0.040698,SG_2024_Metrics.csv
2024-12-11,sierra-gold,8431,,6.9.6,7:14,0:46,2,0.105991,SG_2024_Metrics.csv
2024-12-11,sierra-gold,8432,,6.9.6,7:41,1:40,4.9,0.21692,SG_2024_Metrics.csv
2024-12-11,sierra-gold,8433,,6.9.6,8:57,1:23,3.1,0.154562,SG_2024_Metrics.csv
2024-12-12,sierra-gold,8431,,6.9.6,5:39,0:34,1.2,0.100295,SG_2024_Metrics.csv
2024-12-12,sierra-gold,8432,,6.9.6,6:03,0:52,1.9,0.143251,SG_2024_Metrics.csv
2024-12-12,sierra-gold,8433,,6.9.6,5:37,0:42,1.6,0.124629,SG_2024_Metrics.csv
2024-12-19,sierra-gold,8431,,6.9.6,8:37,1:41,4,0.195358,SG_2024_Metrics.csv
2024-12-19,sierra-gold,8432,,6.9.6,7:32,0:52,1.9,0.115044,SG_2024_Metrics.csv
2024-12-19,sierra-gold,8433,,6.9.6,7:04,1:41,4.1,0.238208,SG_2024_Metrics.csv
2024-12-20,sierra-gold,8431,,6.9.6,9:14,1:30,3.7,0.162455,SG_2024_Metrics.csv
2024-12-20,sierra-gold,8432,,6.9.6,8:35,1:47,4.3,0.207767,SG_2024_Metrics.csv
2024-12-20,sierra-gold,8433,,6.9.6,8:35,1:36,3.6,0.186408,SG_2024_Metrics.csv
2024-12-26,sierra-gold,8431,,6.9.6,0:37,0:09,0.5,0.243243,SG_2024_Metrics.csv
2024-12-26,sierra-gold,8432,,6.9.6,0:23,0:10,0.6,0.434783,SG_2024_Metrics.csv
2024-12-26,sierra-gold,8433,,6.9.6,0:25,0:10,0.6,0.4,SG_2024_Metrics.csv
2024-12-27,sierra-gold,8431,,6.9.6,6:20,0:58,2.1,0.152632,SG_2024_Metrics.csv
2024-12-27,sierra-gold,8432,,6.9.6,6:20,1:04,2.5,0.168421,SG_2024_Metrics.csv
2024-12-27,sierra-gold,8433,,6.9.6,6:31,0:38,1.6,0.097187,SG_2024_Metrics.csv
